Brand,Model,Vehicle Class,EngineSize,Cylinders,Transmission,FuelType,FuelConsumptionCity,Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),FuelConsumptionComb,Emission
1,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33,196
1,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
1,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48,136
1,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
1,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
1,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,230
1,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
1,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255
1,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
1,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
1,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225
1,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
2,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193
3,DB9,30COMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
3,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
3,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
3,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
3,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
3,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
3,VANQUISH,30COMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
4,A4,COMPACT,2,4,AV8,Z,9.9,7.4,8.8,32,202
4,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
4,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214
4,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
